tenor,discount_factor,rc,rann,fwd_c,fwd_ann
76,0.0864738902669764,0.0322093783846542,0.0327337147865125,0.0324318236254116,0.0329634670390366
77,0.0837114501732662,0.0322127209179805,0.0327371667391405,0.0324324364293655,0.0329641000433274
78,0.0810372535538211,0.0322159783285017,0.032740530793532,0.0324330288864219,0.0329647120303789
79,0.0784484820457646,0.0322191537887511,0.0327438102252424,0.0324336019508588,0.0329653039858895
80,0.0759424072354635,0.0322222503188049,0.0327470081524399,0.0324341565215621,0.0329658768383434
81,0.0735163877963915,0.0322252707950585,0.0327501275449651,0.0324346934457226,0.0329664314628284
82,0.0711678667169188,0.0322282179584259,0.0327531712327938,0.0324352135222622,0.0329669686845755
83,0.0688943686153519,0.0322310944220037,0.0327561419139482,0.0324357175050103,0.0329674892822383
84,0.0666934971396127,0.0322339026782399,0.0327590421618966,0.0324362061056483,0.0329679939909358
85,0.0645629324490024,0.0322366451056408,0.0327618744324758,0.0324366799964431,0.0329684835050754
86,0.0625004287755595,0.0322393239750507,0.0327646410703748,0.0324371398127833,0.0329689584809723
87,0.0605038120625811,0.0322419414555343,0.0327673443152048,0.0324375861555346,0.0329694195392822
88,0.0585709776779428,0.0322444996198886,0.0327699863071906,0.0324380195932284,0.032969867267262
89,0.0566998881999107,0.0322470004498119,0.0327725690925058,0.0324384406640955,0.0329703022208714
90,0.0548885712732052,0.0322494458407525,0.0327750946282779,0.0324388498779581,0.0329707249267253
91,0.0531351175331361,0.0322518376064599,0.0327775647872868,0.0324392477179886,0.0329711358839115
92,0.0514376785956894,0.0322541774832577,0.032779981362375,0.0324396346423479,0.0329715355656839
93,0.0497944651115076,0.0322564671340592,0.0327823460705943,0.0324400110857101,0.0329719244210351
94,0.048203744881764,0.0322587081521409,0.0327846605570998,0.0324403774606836,0.0329723028761657
95,0.0466638410339909,0.0322609020646921,0.0327869263988148,0.0324407341591345,0.0329726713358518
96,0.0451731302559758,0.0322630503361533,0.0327891451078775,0.0324410815534218,0.0329730301847191
97,0.0437300410859004,0.0322651543713603,0.0327913181348862,0.0324414199975492,0.0329733797884342
98,0.0423330522569466,0.0322672155185039,0.0327934468719553,0.03244174982824,0.0329737204948137
99,0.0409806910946532,0.0322692350719192,0.0327955326555944,0.0324420713659409,0.0329740526348623
100,0.0396715319653524,0.0322712142747146,0.0327975767694226,0.03244238491576,0.0329743765237402
101,0.0384041947740728,0.0322731543212519,0.0327995804467289,0.032442690768343,0.0329746924616698
102,0.0371773435103403,0.0322750563594853,0.0328015448728864,0.0324429892006931,0.0329750007347809
103,0.0359896848403583,0.0322769214931698,0.0328034711876337,0.0324432804769377,0.0329753016159038
104,0.0348399667440971,0.0322787507839473,0.0328053604872265,0.0324435648490459,0.0329755953653097
